cliente_id,mes,puntos_ganados_total,puntos_canjeados_total,cantidad_canjes,puntos_saldo_fin_mes
202975.0,2022-08,0.0,1935.0,1,2124.0
202975.0,2022-09,0.0,0.0,0,2124.0
202975.0,2022-10,0.0,2685.0,1,3216.0
202975.0,2022-11,373.0,3745.0,1,160.0
202975.0,2022-12,481.0,0.0,0,928.0
202975.0,2023-01,3679.0,0.0,0,5039.0
202975.0,2023-02,0.0,0.0,0,5716.0
202975.0,2023-03,0.0,4995.0,1,968.0
202975.0,2023-04,979.0,0.0,0,2095.0
202975.0,2023-05,250.0,0.0,0,2451.0
202975.0,2023-06,0.0,0.0,0,2451.0
202975.0,2023-07,1714.0,0.0,0,4568.0
202975.0,2023-08,14351.0,0.0,0,19386.0
202975.0,2023-09,0.0,18805.0,1,895.0
202975.0,2023-10,0.0,0.0,0,1205.0
203693.0,2022-08,1295.0,1568.0,1,1321.0
203693.0,2022-09,0.0,0.0,0,1321.0
203693.0,2022-10,0.0,0.0,0,1321.0
203693.0,2022-11,1591.0,0.0,0,3392.0
203693.0,2022-12,1538.0,0.0,0,5524.0
203693.0,2023-01,0.0,5470.0,1,658.0
203693.0,2023-02,218.0,4739.0,1,1373.0
203693.0,2023-03,984.0,0.0,0,3589.0
203693.0,2023-04,717.0,3040.0,1,1603.0
203693.0,2023-05,2988.0,4550.0,1,282.0
203693.0,2023-06,4045.0,0.0,0,4751.0
203693.0,2023-07,4915.0,8520.0,2,7760.0
203693.0,2023-08,500.0,7485.0,1,1296.0
203693.0,2023-09,1820.0,0.0,0,3889.0
203693.0,2023-10,1797.0,5010.0,1,1356.0
203797.0,2022-08,0.0,0.0,0,3000.0
203797.0,2022-09,0.0,3136.0,1,320.0
203797.0,2022-10,373.0,0.0,0,1064.0
203797.0,2022-11,0.0,0.0,0,1188.0
203797.0,2022-12,1193.0,0.0,0,2622.0
203797.0,2023-01,0.0,0.0,0,2808.0
203797.0,2023-02,0.0,0.0,0,2838.0
203797.0,2023-03,0.0,0.0,0,3122.0
203797.0,2023-04,0.0,0.0,0,3181.0
203797.0,2023-05,250.0,0.0,0,3493.0
203797.0,2023-06,0.0,0.0,0,3511.0
203797.0,2023-07,0.0,0.0,0,3550.0
203797.0,2023-08,0.0,0.0,0,4857.0
203797.0,2023-09,8381.0,9859.0,1,3596.0
203797.0,2023-10,7034.0,0.0,0,10834.0
206767.0,2022-08,0.0,0.0,0,6701.0
206767.0,2022-09,0.0,0.0,0,6701.0
206767.0,2022-10,0.0,0.0,0,6701.0
206767.0,2022-11,0.0,6260.0,1,713.0
206767.0,2022-12,0.0,0.0,0,848.0
206767.0,2023-01,0.0,0.0,0,848.0
206767.0,2023-02,0.0,0.0,0,1235.0
206767.0,2023-03,0.0,0.0,0,1235.0
206767.0,2023-04,0.0,0.0,0,1235.0
206767.0,2023-05,0.0,0.0,0,1235.0
206767.0,2023-06,0.0,0.0,0,1235.0
206767.0,2023-07,0.0,0.0,0,1235.0
206767.0,2023-08,0.0,0.0,0,1235.0
206767.0,2023-09,0.0,0.0,0,1235.0
206767.0,2023-10,0.0,0.0,0,1235.0
218421.0,2022-08,0.0,0.0,0,9890.0
218421.0,2022-09,0.0,0.0,0,9890.0
218421.0,2022-10,458.0,0.0,0,6023.0
218421.0,2022-11,2093.0,0.0,0,8965.0
218421.0,2022-12,3646.0,10347.0,1,4536.0
218421.0,2023-01,0.0,0.0,0,4536.0
218421.0,2023-02,0.0,0.0,0,3639.0
218421.0,2023-03,0.0,0.0,0,4560.0
218421.0,2023-04,721.0,0.0,0,6188.0
218421.0,2023-05,1857.0,5420.0,1,4159.0
218421.0,2023-06,8846.0,0.0,0,14339.0
218421.0,2023-07,8580.0,20095.0,1,3181.0
218421.0,2023-08,5564.0,8980.0,1,670.0
218421.0,2023-09,2039.0,0.0,0,4066.0
218421.0,2023-10,3968.0,0.0,0,9358.0
222453.0,2022-08,0.0,0.0,0,0.0
222453.0,2022-09,0.0,0.0,0,0.0
222453.0,2022-10,0.0,0.0,0,0.0
222453.0,2022-11,0.0,0.0,0,0.0
222453.0,2022-12,0.0,0.0,0,0.0
222453.0,2023-01,0.0,0.0,0,0.0
222453.0,2023-02,0.0,0.0,0,0.0
222453.0,2023-03,0.0,0.0,0,0.0
222453.0,2023-04,0.0,0.0,0,0.0
222453.0,2023-05,0.0,0.0,0,0.0
222453.0,2023-06,0.0,0.0,0,0.0
222453.0,2023-07,0.0,0.0,0,0.0
222453.0,2023-08,0.0,0.0,0,0.0
222453.0,2023-09,0.0,0.0,0,0.0
222453.0,2023-10,0.0,0.0,0,571.0
223179.0,2022-08,616.0,0.0,0,6750.0
223179.0,2022-09,320.0,0.0,0,7525.0
